ASXCode,CompanyName,GICsIndustryGroup
DOW,Downer Edi Limited,Commercial & Professional Services
DRA,Dra Global Limited,Capital Goods
DRE,Dreadnought Resources Ltd,Materials
DRM,Demetallica Limited,Materials
DRO,Droneshield Limited,Capital Goods
DRR,Deterra Royalties Limited,Materials
DRX,Diatreme Resources Limited,Materials
DSE,Dropsuite Limited,Software & Services
DSK,Dusk Group Limited,Retailing
DTC,Damstra Holdings Limited,Software & Services
DTI,Dti Group Ltd,Technology Hardware & Equipment
DTL,Data#3 Limited,Software & Services
DTM,Dart Mining Nl,Materials
DTR,Dateline Resources Limited,Materials
DTZ,Dotz Nano Limited,Semiconductors & Semiconductor Equipment
DUB,Dubber Corporation Limited,Software & Services
DUG,Dug Technology Ltd,Software & Services
DUI,Diversified United Investment Limited,Not Applic
DUN,Dundas Minerals Limited,Materials
DUR,Duratec Limited,Capital Goods
DVL,Dorsavi Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
DVP,Develop Global Limited,Materials
DVR,Diverger Limited,Diversified Financials
DW8,Dw8 Limited,Retailing
DXB,Dimerix Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
DXC,Dexus Convenience Retail Reit,Real Estate
DXI,Dexus Industria Reit.,Real Estate
DXN,Dxn Limited,Software & Services
DXS,Dexus,Real Estate
DYL,Deep Yellow Limited,Energy
E25,Element 25 Limited,Materials
E2M,E2 Metals Limited,Materials
E33,East 33 Limited..,"Food, Beverage & Tobacco"
E79,E79 Gold Mines Limited,Materials
EAI,Ellerston Asian Investments Limited,Not Applic
EAX,Energy Action Limited,Commercial & Professional Services
EBG,Eumundi Group Limited,Consumer Services
EBO,Ebos Group Limited,Health Care Equipment & Services
EBR,Ebr Systems Inc.,Health Care Equipment & Services
ECF,Elanor Commercial Property Fund,Real Estate
ECG,Ecargo Holdings Limited,Commercial & Professional Services
ECL,Excelsior Capital Ltd,Capital Goods
ECP,Ecp Emerging Growth Limited,Not Applic
ECS,Ecs Botanics Holdings Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
ECT,Environmental Clean Technologies Limited.,Commercial & Professional Services
ECX,Eclipx Group Limited,Diversified Financials
EDC,Eildon Capital Group,Diversified Financials
EDE,Eden Innovations Ltd,Energy
EDU,Edu Holdings Limited,Consumer Services
EDV,Endeavour Group Limited,Food & Staples Retailing
EEG,Empire Energy Group Limited,Energy
EEL,Enrg Elements Ltd,Materials
EFE,Eastern Resources Limited,Materials
EGG,Enero Group Limited,Media & Entertainment
EGH,Eureka Group Holdings Limited,Real Estate
EGL,Environmental Group Limited (The),Capital Goods
EGN,Engenco Limited,Capital Goods
EGR,Ecograf Limited,Materials
EGY,Energy Technologies Limited,Capital Goods
EHE,Estia Health Limited,Health Care Equipment & Services
EHL,Emeco Holdings Limited,Capital Goods
EIQ,Echoiq Limited,Software & Services
EL8,Elevate Uranium Ltd,Energy
ELD,Elders Limited,"Food, Beverage & Tobacco"
ELE,Elmore Ltd,Materials
ELO,Elmo Software Limited,Software & Services
ELS,Elsight Limited,Technology Hardware & Equipment
ELT,Elementos Limited,Materials
EM1,Emerge Gaming Limited,Media & Entertainment
EM2,Eagle Mountain Mining Limited,Materials
EMB,Embelton Limited,Capital Goods
EMD,Emyria Limited,Health Care Equipment & Services
EME,Energy Metals Ltd,Energy
EMH,European Metals Holdings Limited,Materials
EML,Eml Payments Limited,Software & Services
EMN,Euro Manganese Inc,Materials
EMP,Emperor Energy Limited,Energy
EMR,Emerald Resources Nl,Materials
EMS,Eastern Metals Limited,Materials
EMT,Emetals Limited,Not Applic
EMU,Emu Nl,Materials
EMUCA,Emu Nl,Materials
EMV,Emvision Medical Devices Ltd,Health Care Equipment & Services
ENA,Ensurance Ltd,Insurance
ENN,Elanor Investors Group,Consumer Services
ENR,Encounter Resources Limited,Materials
ENT,Enterprise Metals Limited,Materials
ENV,Enova Mining Limited,Materials
ENX,Enegex Limited,Materials
EOF,Ecofibre Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
EOL,Energy One Limited,Software & Services
EOS,Electro Optic Systems Holdings Limited,Capital Goods
EP1,E&P Financial Group Limited,Diversified Financials
EPM,Eclipse Metals Limited.,Energy
EPN,Epsilon Healthcare Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
EPX,Ep&T Global Limited,Software & Services
EPY,Earlypay Ltd,Diversified Financials
EQE,Equus Mining Limited,Materials
EQN,Equinox Resources Limited.,Materials
EQR,Eq Resources Limited,Materials
EQS,Equity Story Group Ltd,Diversified Financials
EQT,Eqt Holdings Limited,Diversified Financials
EQX,Equatorial Resources Limited,Materials
ERA,Energy Resources Of Australia Limited,Energy
ERD,Eroad Limited,Technology Hardware & Equipment
ERG,Eneco Refresh Ltd,"Food, Beverage & Tobacco"
ERL,Empire Resources Limited,Materials
ERM,Emmerson Resources Limited,Materials
ERW,Errawarra Resources Ltd,Materials
ESK,Etherstack Plc,Software & Services
ESR,Estrella Resources Limited,Materials
ESS,Essential Metals Limited,Materials
ETM,Energy Transition Minerals Ltd,Materials
EUR,European Lithium Limited,Materials
EV1,Evolution Energy Minerals Limited,Materials
EVE,Eve Health Group Limited.,Diversified Financials
EVN,Evolution Mining Limited,Materials
EVO,Embark Education Limited,Consumer Services
EVR,Ev Resources Ltd,Materials
EVS,Envirosuite Limited,Software & Services
EVT,Evt Limited,Media & Entertainment
EVZ,Evz Limited,Capital Goods
EWC,Energy World Corporation Ltd,Utilities
EX1,Exopharm Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
EXL,Elixinol Wellness Limited,Household & Personal Products
EXP,Experience Co Limited,Consumer Services
EXR,Elixir Energy Limited,Energy
EYE,Nova Eye Medical Limited,Health Care Equipment & Services
EZL,Euroz Hartleys Group Limited,Diversified Financials
EZZ,Ezz Life Science Holdings Limited,Retailing
FAL,Falcon Metals Ltd,Materials
FAR,Far Limited,Energy
FAU,First Au Limited,Materials
FBR,Fbr Ltd,Capital Goods
FBU,Fletcher Building Limited,Materials
FCL,Fineos Corporation Holdings Plc,Software & Services
FCT,Firstwave Cloud Technology Limited,Software & Services
FDR,Finder Energy Holdings Limited,Energy
FDV,Frontier Digital Ventures Limited,Media & Entertainment
FEG,Far East Gold Ltd,Materials
FEX,Fenix Resources Ltd,Materials
FFF,Forbidden Foods Limited,"Food, Beverage & Tobacco"
FFG,Fatfish Group Limited,Diversified Financials
FFI,Ffi Holdings Limited,"Food, Beverage & Tobacco"
FFT,Future First Technologies Ltd,Commercial & Professional Services
FFX,Firefinch Limited,Materials
FG1,Flynn Gold Limited,Materials
FGG,Future Generation Global Investment Company Limited,Not Applic
FGL,Frugl Group Limited,Software & Services
FGR,First Graphene Limited,Materials
FGX,Future Generation Investment Company Limited,Not Applic
FHE,Frontier Energy Limited,Materials
FHS,Freehill Mining Limited.,Materials
FID,Fiducian Group Limited,Diversified Financials
FIJ,Fiji Kava Limited,Household & Personal Products
FIN,Fin Resources Limited,Materials
FLC,Fluence Corporation Limited,Capital Goods
FLN,Freelancer Limited,Commercial & Professional Services
FLT,Flight Centre Travel Group Limited,Consumer Services
FLX,Felix Group Holdings Ltd,Software & Services
FME,Future Metals Nl,Energy
FMG,Fortescue Metals Group Ltd,Materials
FML,Focus Minerals Ltd,Materials
FMS,Flinders Mines Limited,Materials
FND,Findi Limited,Software & Services
FNX,Finexia Financial Group Limited,Diversified Financials
FOD,The Food Revolution Group Limited,"Food, Beverage & Tobacco"
FOR,Forager Australian Shares Fund,Not Applic
FOS,Fos Capital Ltd,Capital Goods
FPC,Fat Prophets Global Contrarian Fund Ltd,Not Applic
FPH,Fisher & Paykel Healthcare Corporation Limited,Health Care Equipment & Services
FPP,Fat Prophets Global Property Fund,Not Applic
FRB,Firebird Metals Limited,Materials
FRE,Firebrick Pharma Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
FRI,Finbar Group Limited,Real Estate
FRM,Farm Pride Foods Limited,"Food, Beverage & Tobacco"
FRS,Forrestania Resources Limited,Materials
FRX,Flexiroam Limited,Telecommunication Services
FSA,Fsa Group Limited,Diversified Financials
FSF,Fonterra Shareholders' Fund,"Food, Beverage & Tobacco"
FSG,Field Solutions Holdings Limited,Telecommunication Services
FSI,Flagship Investments Limited,Not Applic
FTC,Fintech Chain Limited,Software & Services
FTL,Firetail Resources Limited,Materials
FTZ,Fertoz Limited,Materials
FWD,Fleetwood Limited,Consumer Durables & Apparel
FXG,Felix Gold Limited,Materials
FYI,Fyi Resources Limited,Materials
FZO,Family Zone Cyber Safety Limited,Software & Services
FZR,Fitzroy River Corporation Ltd,Energy
G1A,Galena Mining Limited,Materials
G50,Gold 50 Limited,Materials
G6M,Group 6 Metals Limited,Materials
G88,Golden Mile Resources Ltd,Materials
GAL,Galileo Mining Ltd,Materials
GAP,Gale Pacific Limited,Consumer Durables & Apparel
GAS,State Gas Limited,Energy
GBE,Globe Metals & Mining Limited,Materials
GBR,Great Boulder Resources Limited,Materials
GBZ,Gbm Resources Limited,Materials
GC1,Glennon Small Companies Limited,Not Applic
GCI,Gryphon Capital Income Trust,Not Applic
GCR,Golden Cross Resources Ltd,Materials
GCX,Gcx Metals Limited,Energy
GCY,Gascoyne Resources Limited,Materials
GDA,Good Drinks Australia Ltd,"Food, Beverage & Tobacco"
GDC,Global Data Centre Group,Not Applic
GDF,Garda Property Group,Real Estate
GDG,Generation Development Group Limited,Insurance
GDI,Gdi Property Group,Real Estate
GED,Golden Deeps Limited.,Materials
GEM,G8 Education Limited,Consumer Services
GEN,Genmin Limited,Materials
GES,Genesis Resources Limited,Materials
GFL,Global Masters Fund Limited,Not Applic
GFN,Gefen International A.I. Ltd,Retailing
GGE,Grand Gulf Energy Limited,Energy
GGX,Gas2Grid Limited,Energy
GIB,Gibb River Diamonds Limited,Materials
GL1,Global Lithium Resources Limited,Materials
GLA,Gladiator Resources Limited,Materials
GLB,Globe International Limited,Consumer Durables & Apparel
GLE,Glg Corp Ltd,Consumer Durables & Apparel
GLH,Global Health Limited,Health Care Equipment & Services
GLL,Galilee Energy Limited,Energy
GLN,Galan Lithium Limited,Materials
GLV,Global Oil & Gas Limited,Energy
GMA,Genworth Mortgage Insurance Australia Limited,Banks
GMD,Genesis Minerals Limited,Materials
GME,Gme Resources Limited,Materials
GMG,Goodman Group,Real Estate
GML,Gateway Mining Limited,Materials
GMN,Gold Mountain Limited,Materials
GMR,Golden Rim Resources Ltd,Materials
GNC,Graincorp Limited,Food & Staples Retailing
GNE,Genesis Energy Limited,Utilities
GNG,Gr Engineering Services Limited,Materials
GNM,Great Northern Minerals Limited,Materials
GNP,Genusplus Group Ltd,Capital Goods
GNX,Genex Power Limited,Utilities
GO2,The Go2 People Ltd,Commercial & Professional Services
GOR,Gold Road Resources Limited,Materials
GOW,Gowing Bros Limited,Diversified Financials
GOZ,Growthpoint Properties Australia,Real Estate
GPR,Geopacific Resources Ltd,Materials
GPS,Gps Alliance Holdings Limited,Real Estate
GPT,Gpt Group,Real Estate
GQG,Gqg Partners Inc.,Diversified Financials
GRE,Greentech Metals Limited,Materials
GRL,Godolphin Resources Limited,Materials
GRR,Grange Resources Limited.,Materials
GRV,Greenvale Mining Ltd,Energy
GRX,Greenx Metals Limited,Materials
GSM,Golden State Mining Limited,Materials
GSN,Great Southern Mining Limited,Materials
GSR,Greenstone Resources Limited,Materials
GSS,Genetic Signatures Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
GT1,Green Technology Metals Limited,Materials
GTE,Great Western Exploration Limited.,Materials
GTG,Genetic Technologies Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
GTI,Gratifii Limited,Software & Services
GTK,Gentrack Group Limited,Software & Services
GTM,Greentech Minerals Ltd,Semiconductors & Semiconductor Equipment
GTN,Gtn Limited,Media & Entertainment
GTR,Gti Energy Ltd,Materials
GUD,G.U.D. Holdings Limited,Automobiles & Components
GUL,Gullewa Limited,Materials
GVF,Global Value Fund Limited,Not Applic
GW1,Greenwing Resources Ltd,Materials
GWA,Gwa Group Limited.,Capital Goods
GWR,Gwr Group Limited,Materials
H2G,Greenhy2 Limited,Commercial & Professional Services
HAL,Halo Technologies Holdings Ltd,Diversified Financials
HAR,Haranga Resources Limited.,Materials
HAS,Hastings Technology Metals Ltd,Materials
HAV,Havilah Resources Limited,Materials
HAW,Hawthorn Resources Limited,Materials
HCD,Hydrocarbon Dynamics Limited,Energy
HCF,H&G High Conviction Limited,Not Applic
HCH,Hot Chili Limited,Materials
HCT,Holista Colltech Limited,Household & Personal Products
HCW,Healthco Healthcare And Wellness Reit,Real Estate
HDN,Homeco Daily Needs Reit,Real Estate
HE8,Helios Energy Ltd,Energy
HFR,Highfield Resources Limited,Materials
HFY,Hubify Limited,Telecommunication Services
HGH,Heartland Group Holdings Limited,Banks
HGL,Hudson Investment Group Limited,Real Estate
HGO,Hillgrove Resources Limited,Materials
HGV,Hygrovest Limited,Not Applic
HHI,Health House International Limited,Health Care Equipment & Services
HHR,Hartshead Resources Nl,Energy
HIL,Hills Limited,Technology Hardware & Equipment
HIO,Hawsons Iron Ltd,Materials
HIQ,Hitiq Limited,Health Care Equipment & Services
HIT,Hitech Group Australia Limited,Commercial & Professional Services
HLA,Healthia Limited,Health Care Equipment & Services
HLF,Halo Food Co. Limited,
HLO,Helloworld Travel Limited,Consumer Services
HLS,Healius Limited,Health Care Equipment & Services
HLX,Helix Resources Limited,Materials
HM1,Hearts And Minds Investments Limited,Not Applic
HMC,Home Consortium Limited,Real Estate
HMD,Heramed Limited,Health Care Equipment & Services
HMG,Hamelin Gold Limited,Materials
HMI,Hiremii Limited,Commercial & Professional Services
HMX,Hammer Metals Limited,Materials
HMY,Harmoney Corp Limited,Diversified Financials
HNG,Hancock & Gore Ltd,Capital Goods
HNR,Hannans Ltd,Materials
HOR,Horseshoe Metals Limited,Materials
HPC,The Hydration Pharmaceuticals Company Limited,Household & Personal Products
HPG,Hipages Group Holdings Ltd,Media & Entertainment
HPI,Hotel Property Investments,Real Estate
HPP,Health And Plant Protein Group Limited,"Food, Beverage & Tobacco"
HPR,High Peak Royalties Limited,Energy
HRE,Heavy Rare Earths Limited,Class Pend
HRN,Horizon Gold Limited,Materials
HRO,Hiro Brands Limited,Consumer Services
HRZ,Horizon Minerals Limited,Materials
HSC,Hsc Technology Group Ltd,Software & Services
HSN,Hansen Technologies Limited,Software & Services
HT1,Ht&E Limited,Media & Entertainment
HT8,Harris Technology Group Limited,Retailing
HTA,Hutchison Telecommunications (Australia) Limited,Telecommunication Services
HTG,Harvest Technology Group Ltd,Technology Hardware & Equipment
HTM,High-Tech Metals Ltd,Class Pend
HUB,Hub24 Limited,Diversified Financials
HUM,Humm Group Limited,Diversified Financials
HVM,Happy Valley Nutrition Limited,"Food, Beverage & Tobacco"
HVN,Harvey Norman Holdings Limited,Retailing
HVY,Heavy Minerals Limited,Materials
HXG,Hexagon Energy Materials Limited,Materials
HXL,Hexima Limited.,"Pharmaceuticals, Biotechnology & Life Sciences"
HYD,Hydrix Limited,Technology Hardware & Equipment
HYT,Hyterra Ltd,Energy
HZN,Horizon Oil Limited,Energy
HZR,Hazer Group Limited,Materials
IAG,Insurance Australia Group Limited,Insurance
IAM,Income Asset Management Group Limited.,Diversified Financials
IBC,Ironbark Capital Limited,Not Applic
IBG,Ironbark Zinc Ltd,Materials
IBX,Imagion Biosystems Limited,Health Care Equipment & Services
ICE,Icetana Limited,Software & Services
ICG,Inca Minerals Limited,Materials
ICI,Icandy Interactive Limited,Media & Entertainment
ICL,Iceni Gold Limited,Materials
ICN,Icon Energy Limited,Energy
ICR,Intelicare Holdings Limited,Health Care Equipment & Services
ICS,Icsglobal Limited,Health Care Equipment & Services
ICT,Icollege Limited,Consumer Services
ID8,Identitii Limited,Software & Services
IDA,Indiana Resources Limited,Materials
IDT,Idt Australia Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
IDX,Integral Diagnostics Limited,Health Care Equipment & Services
IEC,Intra Energy Corporation Limited,Energy
IEL,Idp Education Limited,Consumer Services
IEQ,International Equities Corporation Limited.,Real Estate
IFL,Insignia Financial Ltd,Diversified Financials
IFM,Infomedia Ltd,Software & Services
IFT,Infratil Limited.,Utilities
IG6,International Graphite Limited,Capital Goods
IGL,Ive Group Limited,Media & Entertainment
IGN,Ignite Limited,Commercial & Professional Services
IGO,Igo Limited,Materials
IHL,Incannex Healthcare Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
IHR,Intellihr Limited,Software & Services
IIQ,Inoviq Ltd,Health Care Equipment & Services
IKE,Ikegps Group Limited,Technology Hardware & Equipment
IKW,Ikwezi Mining Limited,Energy
ILA,Island Pharmaceuticals Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
ILU,Iluka Resources Limited,Materials
IMA,Image Resources Nl,Materials
IMB,Intelligent Monitoring Group Limited,Commercial & Professional Services
IMC,Immuron Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
IMD,Imdex Limited,Materials
IME,Imexhs Limited,Health Care Equipment & Services
IMI,Infinity Mining Limited,Materials
IMM,Immutep Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
IMR,Imricor Medical Systems Inc.,Health Care Equipment & Services
IMS,Impelus Limited,Media & Entertainment
IMU,Imugene Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
INA,Ingenia Communities Group,Real Estate
IND,Industrial Minerals Ltd,Materials
INF,Infinity Lithium Corporation Limited,Materials
ING,Inghams Group Limited,"Food, Beverage & Tobacco"
INL,Innlanz Limited,Retailing
INP,Incentiapay Limited,Retailing
INR,Ioneer Ltd,Materials
INV,Investsmart Group Limited,Diversified Financials
IOD,Iodm Limited,Software & Services
IOU,Ioupay Limited,Media & Entertainment
IPB,Ipb Petroleum Limited,Energy
IPC,Imperial Pacific Limited,Diversified Financials
IPD,Impedimed Limited,Health Care Equipment & Services
IPG,Ipd Group Ltd,Capital Goods
IPH,Iph Limited,Commercial & Professional Services
IPL,Incitec Pivot Limited,Materials
IPT,Impact Minerals Limited,Materials
IPX,Iperionx Limited,Materials
IR1,Iris Metals Limited,Materials
IRD,Iron Road Limited,Materials
IRE,Iress Limited,Software & Services
IRI,Integrated Research Limited,Software & Services
IRX,Inhalerx Limited,Health Care Equipment & Services
IS3,I Synergy Group Limited,Software & Services
ISU,Iselect Limited.,Consumer Services
ITM,Itech Minerals Ltd,Materials
IVC,Invocare Limited,Consumer Services
IVO,Invigor Group Limited,Media & Entertainment
IVR,Investigator Resources Ltd,Materials
IVT,Inventis Limited,Commercial & Professional Services
IVX,Invion Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
IVZ,Invictus Energy Ltd,Energy
IXC,Invex Therapeutics Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
IXR,Ionic Rare Earths Limited,Materials
IXU,Ixup Limited,Software & Services
JAL,Jameson Resources Limited,Materials
JAN,Janison Education Group Limited,Software & Services
JAT,Jatcorp Limited,Retailing
JAV,Javelin Minerals Limited,Materials
JAY,Jayride Group Limited,Retailing
JBH,Jb Hi-Fi Limited,Retailing
JCS,Jcurve Solutions Ltd,Software & Services
JDO,Judo Capital Holdings Limited,Banks
JGH,Jade Gas Holdings Limited,Materials
JHG,Janus Henderson Group Plc,Diversified Financials
JHX,James Hardie Industries Plc,Materials
JIN,Jumbo Interactive Limited,Consumer Services
JLG,Johns Lyng Group Limited,Capital Goods
JMS,Jupiter Mines Limited.,Materials
JNO,Juno Minerals Limited,Materials
JPR,Jupiter Energy Limited,Energy
JRL,Jindalee Resources Limited,Materials
JRV,Jervois Global Limited,Materials
JTL,Jayex Technology Limited,Health Care Equipment & Services
JXT,Jaxsta Ltd,Software & Services
JYC,Joyce Corporation Ltd,Retailing
K2F,K2Fly Limited,Software & Services
KAI,Kairos Minerals Limited,Materials
KAL,Kalgoorlie Gold Mining Limited,Materials
KAM,K2 Asset Management Holdings Ltd,Diversified Financials
KAR,Karoon Energy Ltd,Energy
KAT,Katana Capital Limited,Not Applic
KAU,Kaiser Reef Limited,Materials
KBC,Keybridge Capital Limited,Diversified Financials
KCC,Kincora Copper Limited,Materials
KCN,Kingsgate Consolidated Limited.,Materials
KED,Keypath Education International Inc.,Consumer Services
KEY,Key Petroleum Limited,Energy
KFE,Kogi Iron Limited,Materials
KFM,Kingfisher Mining Ltd,Materials
KGD,Kula Gold Limited,Materials
KGL,Kgl Resources Limited,Materials
KGN,Kogan.Com Ltd,Retailing
KIL,Kiland Ltd,Materials
KIN,Kin Mining Nl,Materials
KKC,Kkr Credit Income Fund,Not Applic
KKO,Kinetiko Energy Ltd,Energy
KLI,Killi Resources Limited,Class Pend
KLL,Kalium Lakes Limited,Materials
KLO,Kingsland Global Ltd,Real Estate
KLR,Kaili Resources Limited,Energy
KLS,Kelsian Group Limited,Consumer Services
KMD,Kmd Brands Limited,Retailing
KME,Kip Mcgrath Education Centres Limited,Consumer Services
KNB,Koonenberry Gold Limited,Materials
KNG,Kingsland Minerals Ltd,Materials
KNI,Kuniko Limited,Materials
KNM,Kneomedia Limited,Media & Entertainment
KNO,Knosys Limited,Software & Services
KOB,Koba Resources Limited,Materials
KOR,Korab Resources Limited,Materials
KOV,Korvest Ltd,Capital Goods
KP2,Kore Potash Plc,Materials
KPG,Kelly Partners Group Holdings Limited,Commercial & Professional Services
KPO,Kalina Power Limited,Utilities
KRM,Kingsrose Mining Limited,Materials
KRR,King River Resources Limited,Materials
KSC,K & S Corporation Limited,Transportation
KSL,Kina Securities Limited,Banks
KSN,Kingston Resources Limited,Materials
KSS,Kleos Space S.A,Commercial & Professional Services
KTA,Krakatoa Resources Limited,Materials
KTG,K-Tig Limited,Capital Goods
KWR,Kingwest Resources Limited,Materials
KYP,Kinatico Ltd,Software & Services
KZA,Kazia Therapeutics Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
KZR,Kalamazoo Resources Limited,Materials
L1M,Lightning Minerals Ltd,Materials
LAM,Laramide Resources Ltd,Energy
LAU,Lindsay Australia Limited,Transportation
LAW,Lawfinance Limited,Diversified Financials
LBL,Laserbond Limited,Capital Goods
LBT,Lbt Innovations Limited,Health Care Equipment & Services
LBY,Laybuy Group Holdings Limited,Software & Services
LCE,London City Equities Limited,Diversified Financials
LCL,Los Cerros Limited,Materials
LCT,Living Cell Technologies Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
LCY,Legacy Iron Ore Limited,Materials
LDR,Lode Resources Ltd,Materials
LDX,Lumos Diagnostics Holdings Limited,Health Care Equipment & Services
LEG,Legend Mining Limited,Materials
LEL,Lithium Energy Limited,Materials
LER,Leaf Resources Ltd,Materials
LEX,Lefroy Exploration Limited,Materials
LFG,Liberty Financial Group,Banks
LFS,Latitude Group Holdings Limited,Diversified Financials
LGI,Lgi Limited,Utilities
LGL,Lynch Group Holdings Limited,"Food, Beverage & Tobacco"
LGM,Legacy Minerals Holdings Limited,Materials
LGP,Little Green Pharma Ltd,"Pharmaceuticals, Biotechnology & Life Sciences"
LHM,Land & Homes Group Limited,Real Estate
LIC,Lifestyle Communities Limited,Real Estate
LIN,Lindian Resources Limited,Materials
LIO,Lion Energy Limited,Energy
LIS,Li-S Energy Limited,Capital Goods
LIT,Lithium Australia Limited,Materials
LKE,Lake Resources N.L.,Materials
LKO,Lakes Blue Energy Nl,Energy
LKY,Locksley Resources Limited,Materials
LLC,Lendlease Group,Real Estate
LLI,Loyal Lithium Limited,Materials
LLL,Leo Lithium Limited,Materials
LLO,Lion One Metals Limited,Materials
LM8,Lunnon Metals Limited,Materials
LME,Limeade Inc.,Software & Services
LMG,Latrobe Magnesium Limited,Materials
LML,Lincoln Minerals Limited,Materials
LNK,Link Administration Holdings Limited,Software & Services
LNR,Lanthanein Resources Ltd,Materials
LNU,Linius Technologies Limited,Software & Services
LOM,Lucapa Diamond Company Limited,Materials
LOT,Lotus Resources Limited,Materials
LOV,Lovisa Holdings Limited,Retailing
LPD,Lepidico Ltd,Materials
LPE,Locality Planning Energy Holdings Limited,Utilities
LPI,Lithium Power International Limited,Materials
LPM,Lithium Plus Minerals Ltd.,Materials
LRD,Lord Resources Limited,Materials
LRK,Lark Distilling Co. Ltd,"Food, Beverage & Tobacco"
LRL,Labyrinth Resources Limited,Materials
LRS,Latin Resources Limited,Materials
LRT,Lowell Resources Fund,Not Applic
LRV,Larvotto Resources Limited,Materials
LSA,Lachlan Star Limited,Materials
LSF,L1 Long Short Fund Limited,Not Applic
LSR,Lodestar Minerals Limited,Materials
LSX,Lion Selection Group Limited.,Not Applic
LTR,Liontown Resources Limited,Materials
LV1,Live Verdure Ltd,"Food, Beverage & Tobacco"
LVE,Love Group Global Ltd,Software & Services
LVH,Livehire Limited,Software & Services
LVT,Livetiles Limited,Software & Services
LYC,Lynas Rare Earths Limited,Materials
LYK,Lykos Metals Limited,Materials
LYL,Lycopodium Limited,Capital Goods
LYN,Lycaon Resources Ltd,Materials
M24,Mamba Exploration Limited,Materials
M2M,Mt Malcolm Mines Nl,Materials
M2R,Miramar Resources Limited,Materials
M3M,M3 Mining Limited,Materials
M7T,Mach7 Technologies Limited,Health Care Equipment & Services
M8S,M8 Sustainable Limited,Commercial & Professional Services
MAD,Mader Group Limited,Commercial & Professional Services
MAF,Ma Financial Group Limited,Diversified Financials
MAG,Magmatic Resources Limited,Materials
MAH,Macmahon Holdings Limited,Materials
MAM,Microequities Asset Management Group Limited,Diversified Financials
MAN,Mandrake Resources Limited,Materials
MAP,Microba Life Sciences Limited,Health Care Equipment & Services
MAQ,Macquarie Telecom Group Limited,Telecommunication Services
MAT,Matsa Resources Limited,Materials
MAU,Magnetic Resources Nl,Materials
MAUCA,Magnetic Resources Nl,Materials
MAY,Melbana Energy Limited,Energy
MBH,Maggie Beer Holdings Ltd,"Food, Beverage & Tobacco"
MBK,Metal Bank Limited,Materials
MBX,My Foodie Box Limited,Food & Staples Retailing
MCA,Murray Cod Australia Limited,"Food, Beverage & Tobacco"
MCE,Matrix Composites & Engineering Limited,Energy
MCL,Mighty Craft Limited,Consumer Services
MCM,Mc Mining Limited,Energy
MCP,Mcpherson'S Limited,Household & Personal Products
MCR,Mincor Resources Nl,Materials
MCT,Metalicity Limited,Materials
MCX,Mariner Corporation Limited,Diversified Financials
MCY,Mercury Nz Limited,Utilities
MDC,Medlab Clinical Limited,"Pharmaceuticals, Biotechnology & Life Sciences"
MDI,Middle Island Resources Limited,Materials
MDR,Medadvisor Limited,Health Care Equipment & Services
MDX,Mindax Limited,Materials
MEA,Mcgrath Limited,Real Estate
MEB,Medibio Limited,Health Care Equipment & Services
MEC,Morphic Ethical Equities Fund Limited,Diversified Financials
MEG,Megado Minerals Ltd,Materials
MEI,Meteoric Resources Nl,Materials
MEK,Meeka Metals Limited,Materials
MEL,Metgasco Ltd,Energy
MEM,Memphasys Limited.,"Pharmaceuticals, Biotechnology & Life Sciences"
MEU,Marmota Limited,Energy
MEZ,Meridian Energy Limited,Utilities
MFB,My Food Bag Group Limited,Retailing
MFD,Mayfield Childcare Limited,Consumer Services
MFF,Mff Capital Investments Limited,Not Applic
MFG,Magellan Financial Group Limited,Diversified Financials
MGA,Metalsgrove Mining Ltd,Materials
MGF,Magellan Global Fund.,Not Applic
MGG,Mogul Games Group Ltd,Media & Entertainment
MGH,Maas Group Holdings Limited,Capital Goods
MGL,Magontec Limited,Materials
MGR,Mirvac Group,Real Estate
MGT,Magnetite Mines Limited.,Materials
MGU,Magnum Mining And Exploration Limited,Materials
MGV,Musgrave Minerals Limited,Materials
MGX,Mount Gibson Iron Limited,Materials
MHC,Manhattan Corporation Limited,Energy
MHI,Merchant House International Limited,Consumer Durables & Apparel
MHJ,Michael Hill International Limited,Retailing
MHK,Metal Hawk Limited.,Materials
MI6,Minerals 260 Limited,Materials
MIH,Mnc Media Investment Ltd,Media & Entertainment
